,top_cm,bottom_cm,grain max_mm,grain min_mm,grain avg_mm,type,HH,wetness,comments,hs_cm,swe_mm,density_kgm3,date,hs,profile_id,avg_force_ram,avg_force_scope,avg_force_smp
0,288.0,284.0,0.2,0.1,0.1,RGxf,F,D,,,,,20250228.0,288.0,BDG_20250228,,4.621704882758619,0.10466835467868352
1,284.0,283.0,0.4,0.1,0.3,MFcr,P,D,"Some IFrc, facets",,,372.88253646,,288.0,BDG_20250228,120.1725,4.369540457142857,6.227315146283456
2,283.0,279.0,0.5,0.2,0.3,FCxr,4F,D,,,,,,288.0,BDG_20250228,127.53000000000002,5.463181213793104,2.7569244073895964
3,279.0,278.0,0.8,0.2,0.5,MFcr,1F,D,"faceted, discontinuous, percolation from 284-283 layer",,,360.13557626,,288.0,BDG_20250228,120.1725,5.941111828571428,4.352601931064106
4,278.0,256.0,0.3,0.1,0.1,RGsr,F,D,old DF,,,,,288.0,BDG_20250228,46.1573076923077,1.3907909083870966,0.3745939890553182
5,256.0,246.0,0.3,0.1,0.2,RG,F,D,more DF than above,,,,,288.0,BDG_20250228,56.757857142857134,1.65413163943662,0.43104301446578175
6,246.0,213.0,0.4,0.2,0.3,RG,4F,D,,,,,,288.0,BDG_20250228,101.44108695652172,2.5235525004329005,0.6653975385042166
7,213.0,165.0,0.5,0.2,0.3,RGxf,1F,D,,,,,,288.0,BDG_20250228,282.20099999999996,5.785824430860534,1.2307586677170896
8,165.0,164.5,5.0,2.0,3.0,SHxr,F,D,FCxr 1mm,,,,,288.0,BDG_20250228,,10.1466485,
9,164.5,163.0,1.0,0.2,0.5,RGxf,1F,D,,,,,,288.0,BDG_20250228,613.125,9.15586936,
10,163.0,159.0,6.0,1.5,2.0,SHxr,F,D,FCxr 1.5mm,,,,,288.0,BDG_20250228,351.525,10.060842496551723,
11,159.0,148.0,1.0,0.4,0.8,RGxf,1F,D,,,,,,288.0,BDG_20250228,276.78214285714284,5.943703397402597,
12,148.0,147.0,1.0,0.3,0.7,MFcr,4F,D,"poorly bonded, faceted",,,0.0,,288.0,BDG_20250228,286.125,4.089121485714285,
13,147.0,120.0,0.5,0.2,0.4,RGxf,P,D,,,,,,288.0,BDG_20250228,309.71571428571434,8.11171958941799,
