id,hs,top_cm,bot_cm,smp_id,scope_id,sram_id,present [0/1],top_depth_mm,bot_depth_mm
DHMet_DHSMET_20250228,132,128.5,127,,Profile141_SN00308.csv,,1,64,75
DHMet_DHSMET_20250228,132,128.5,127,,Profile142_SN00308.csv,,1,63,70
DHMet_DHSMET_20250228,132,128.5,127,,Profile143_SN00308.csv,,1,75,82
DHMet_DHSMET_20250228,132,128.5,127,,Profile144_SN00308.csv,,0,,
DHMet_DHSMET_20250228,132,128.5,127,,Profile145_SN00308.csv,,0,,
AM_20250409,146,146,143,,Profile282_SN00308.csv,,1,1,37
AM_20250409,146,146,143,,Profile283_SN00308.csv,,0,,
AM_20250409,146,146,143,,Profile284_SN00308.csv,,0,,
AM_20250409,146,146,143,,Profile285_SN00308.csv,,1,1,39
AM_20250409,146,146,143,,Profile286_SN00308.csv,,1,1,32
AM_20250409,146,125,122.5,,Profile282_SN00308.csv,,1,1,65
AM_20250409,146,125,122.5,,Profile283_SN00308.csv,,1,111,201
AM_20250409,146,125,122.5,,Profile284_SN00308.csv,,1,91,180
AM_20250409,146,125,122.5,,Profile285_SN00308.csv,,1,113,158
AM_20250409,146,125,122.5,,Profile286_SN00308.csv,,1,110,169
AM_20250409,146,120,118,,Profile282_SN00308.csv,,1,263,290
AM_20250409,146,120,118,,Profile283_SN00308.csv,,1,250,314
AM_20250409,146,120,118,,Profile284_SN00308.csv,,1,260,292
AM_20250409,146,120,118,,Profile285_SN00308.csv,,1,262,217
AM_20250409,146,120,118,,Profile286_SN00308.csv,,1,260,278
JPLMet_20250226,94.5,94,92,,Profile1355_SN00234.csv,,1,13,17
JPLMet_20250226,94.5,94,92,,Profile1357_SN00234.csv,,0,,
JPLMet_20250226,94.5,94,92,,Profile1358_SN00234.csv,,1,63,47
JPLMet_20250226,94.5,94,92,,Profile1360_SN00234.csv,,1,1,10
JPLMet_20250226,94.5,94,92,,Profile1361_SN00234.csv,,1,1,28
JPLMet_20250226,94.5,60,57,,Profile1355_SN00234.csv,,1,304,342
JPLMet_20250226,94.5,60,57,,Profile1357_SN00234.csv,,1,345,362
JPLMet_20250226,94.5,60,57,,Profile1358_SN00234.csv,,1,339,364
JPLMet_20250226,94.5,60,57,,Profile1360_SN00234.csv,,1,336,361
JPLMet_20250226,94.5,60,57,,Profile1361_SN00234.csv,,1,359,390
BOG_20250326,209,172,170.5,,Profile199_SN00377.csv,,1,360,370
BOG_20250326,209,172,170.5,,Profile200_SN00377.csv,,1,345,347
BOG_20250326,209,172,170.5,,Profile201_SN00377.csv,,1,368,386
BOG_20250326,209,172,170.5,,Profile203_SN00377.csv,,1,360,372
BOG_20250326,209,172,170.5,,Profile204_SN00377.csv,,1,413,426
BOG_20250326,209,167,166,,Profile199_SN00377.csv,,1,428,444
BOG_20250326,209,167,166,,Profile200_SN00377.csv,,1,435,450
BOG_20250326,209,167,166,,Profile201_SN00377.csv,,1,404,421
BOG_20250326,209,167,166,,Profile203_SN00377.csv,,1,391,402
BOG_20250326,209,167,166,,Profile204_SN00377.csv,,1,687,693
BOG_20250326,209,140.5,140,,Profile199_SN00377.csv,,0,,
BOG_20250326,209,140.5,140,,Profile200_SN00377.csv,,1,657,684
BOG_20250326,209,140.5,140,,Profile201_SN00377.csv,,1,619,637
BOG_20250326,209,140.5,140,,Profile203_SN00377.csv,,0,,
BOG_20250326,209,140.5,140,,Profile204_SN00377.csv,,1,696,718
BOG_20250326,209,130.5,130,,Profile199_SN00377.csv,,1,789,797
BOG_20250326,209,130.5,130,,Profile200_SN00377.csv,,0,,
BOG_20250326,209,130.5,130,,Profile201_SN00377.csv,,1,808,817
BOG_20250326,209,130.5,130,,Profile203_SN00377.csv,,1,728,778
BOG_20250326,209,130.5,130,,Profile204_SN00377.csv,,0,,
BOG_20250326,209,108,107.5,,Profile199_SN00377.csv,,1,1034,1091
BOG_20250326,209,108,107.5,,Profile200_SN00377.csv,,1,935,1016
BOG_20250326,209,108,107.5,,Profile201_SN00377.csv,,1,1019,1039
BOG_20250326,209,108,107.5,,Profile203_SN00377.csv,,0,,
BOG_20250326,209,108,107.5,,Profile204_SN00377.csv,,1,1027,1119
