id,hs,top_cm,bot_cm,smp_id,scope_id,sram_id,present [0/1],top_depth_mm,bot_depth_mm
AM_20250409,146,146,143,S19M0857.PNT_samples.csv,,,1,0,25
AM_20250409,146,125,122.5,S19M0857.PNT_samples.csv,,,1,203,229
AM_20250409,146,120,118,S19M0857.PNT_samples.csv,,,1,250,270
BOG_20250326,209,172,170.5,S06M0552.PNT_samples.csv,,,1,354,364
BOG_20250326,209,167,166,S06M0552.PNT_samples.csv,,,1,427,434
BOG_20250326,209,140.5,140,S06M0552.PNT_samples.csv,,,0,,
BOG_20250326,209,130.5,130,S06M0552.PNT_samples.csv,,,0,,
BOG_20250326,209,108,107.5,S06M0552.PNT_samples.csv,,,0,,
BOG_20250326,209,101,100,S06M0552.PNT_samples.csv,,,0,,
BOG_20250110,160,137,135,S19M0536.PNT_samples.csv,,,1,254,262
BOG_20250110,160,137,135,S19M0544.PNT_samples.csv,,,1,258,263
BOG_20250110,160,137,135,S19M0545.PNT_samples.csv,,,1,281,289
BOG_20250110,160,137,135,S19M0547.PNT_samples.csv,,,1,251,264
BOG_20250110,160,137,135,S19M0548.PNT_samples.csv,,,1,248,256
BOG_20250110,160,137,135,S19M0550.PNT_samples.csv,,,1,248,254
BOG_20250110,160,98.5,98,S19M0536.PNT_samples.csv,,,1,607,614
BOG_20250110,160,98.5,98,S19M0544.PNT_samples.csv,,,1,642,671
BOG_20250110,160,98.5,98,S19M0545.PNT_samples.csv,,,1,664,680
BOG_20250110,160,98.5,98,S19M0547.PNT_samples.csv,,,1,657,668
BOG_20250110,160,98.5,98,S19M0548.PNT_samples.csv,,,1,607,626
BOG_20250110,160,98.5,98,S19M0550.PNT_samples.csv,,,1,613,640
BOG_20250110,160,84,79,S19M0536.PNT_samples.csv,,,1,777,788
BOG_20250110,160,84,79,S19M0544.PNT_samples.csv,,,1,786,797
BOG_20250110,160,84,79,S19M0545.PNT_samples.csv,,,1,,
BOG_20250110,160,84,79,S19M0547.PNT_samples.csv,,,1,788,799
BOG_20250110,160,84,79,S19M0548.PNT_samples.csv,,,1,780,787
BOG_20250110,160,84,79,S19M0550.PNT_samples.csv,,,1,780,790
BOG_20250110,160,25,24,S19M0536.PNT_samples.csv,,,0,,
BOG_20250110,160,25,24,S19M0544.PNT_samples.csv,,,0,,
BOG_20250110,160,25,24,S19M0545.PNT_samples.csv,,,0,,
BOG_20250110,160,25,24,S19M0547.PNT_samples.csv,,,1,1347,1352
BOG_20250110,160,25,24,S19M0548.PNT_samples.csv,,,1,1339,1345
BOG_20250110,160,25,24,S19M0550.PNT_samples.csv,,,1,,
JPLMet_20250407_TS_1200,68,61,60,S19M0740.PNT_samples.csv,,,1,73,79
JPLMet_20250407_TS_1200,68,53,51.5,S19M0740.PNT_samples.csv,,,1,,
BOG_20250205,204,203,202.5,S19M0611.PNT_samples.csv,,,1,28,35
BOG_20250205,204,203,202.5,S19M0612.PNT_samples.csv,,,1,26,32
BOG_20250205,204,203,202.5,S19M0613.PNT_samples.csv,,,1,17,26
BOG_20250205,204,203,202.5,S19M0614.PNT_samples.csv,,,1,18,25
BOG_20250205,204,203,202.5,S19M0615.PNT_samples.csv,,,1,17,22
BOG_20250205,204,203,202.5,S19M0616.PNT_samples.csv,,,1,25,36
BOG_20250205,204,203,202.5,S19M0617.PNT_samples.csv,,,1,29,37
BOG_20250205,204,203,202.5,S19M0618.PNT_samples.csv,,,1,19,32
