id,hs,top_cm,bot_cm,smp_id,scope_id,sram_id,present [0/1],top_depth_cm,bot_depth_mm
DHMet_DHSMET_20250228,132,128.5,127,,,DHMet_DHSMET_20250228_sram.csv,1,4,6
CCO_20250210,40,30,23,,,CCO_20250210_sram.csv,1,11,16
AM_20250409,146,146,143,,,AM_20250409_sram.csv,1,0,4.5
AM_20250409,146,125,122.5,,,AM_20250409_sram.csv,1,22,26
AM_20250409,146,120,118,,,AM_20250409_sram.csv,1,26,29
JPLMet_20250226,94.5,94,92,,,JPLMet_20250226_sram.csv,1,0,7
JPLMet_20250226,94.5,60,57,,,JPLMet_20250226_sram.csv,1,35,37
BOG_20250326,209,172,170.5,,,BOG_20250326_sram.csv,1,37,40
BOG_20250326,209,167,166,,,BOG_20250326_sram.csv,1,46,49
BOG_20250326,209,140.5,140,,,BOG_20250326_sram.csv,0,,
BOG_20250326,209,130.5,130,,,BOG_20250326_sram.csv,1,82,84
BOG_20250326,209,108,107.5,,,BOG_20250326_sram.csv,1,97.5,99
BOG_20250326,209,101,100,,,BOG_20250326_sram.csv,1,106,108
BOG_20250110,160,137,135,,,BOG_20250110_sram.csv,1,25,27
BOG_20250110,160,98.5,98,,,BOG_20250110_sram.csv,0,,
BOG_20250110,160,84,79,,,BOG_20250110_sram.csv,1,73,79
BOG_20250110,160,25,24,,,BOG_20250110_sram.csv,1,137,138
FCO_20240311,124,124,123,,,FCO_20240311_sram.csv,0,,
FCO_20240311,124,78,77,,,FCO_20240311_sram.csv,0,,
FCO_20240311,124,57,56,,,FCO_20240311_sram.csv,1,65,68
FCO_20240311,124,45,41,,,FCO_20240311_sram.csv,1,79,85
SLMet_20250415,52,52,44,,,SLMet_20250415_sram.csv,1,0,10
AM_20250205,95,95,91,,,AM_20250205_sram.csv,1,0,4
SLMet_20241217,42,5,0,,,SLMet_20241217_sram.csv,1,37,39.5
JPLMet_20250407_TS_1200,68,61,60,,,JPLMet_20250407_TS_1200_sram.csv,0,,
JPLMet_20250407_TS_1200,68,53,51.5,,,JPLMet_20250407_TS_1200_sram.csv,1,14,16
DHMet_20250318,125,113,108,,,DHMet_20250318_sram.csv,1,13,17
DHMet_20250318,125,105,103,,,DHMet_20250318_sram.csv,1,17,21
BOG_20250205,204,203,202.5,,,BOG_20250205_sram.csv,0,,
BOG_20250205,204,113.5,112.5,,,BOG_20250205_sram.csv,0,,
BOG_20250205,204,74,59,,,BOG_20250205_sram.csv,0,,
